X,TrigonomFunction(X)
-10.0,-12.840080655819753
-9.5,-15.481846812497315
-9.0,0.7668471595963519
-8.5,-0.9802946573187212
-8.0,-6.7271368215016905
-7.5,2.5456626041600448
-7.0,0.8147008745992665
-6.5,3.024452997983995
-6.0,-6.488860239733029
-5.5,6.673225844154812
-5.0,3.428777662497698
-4.5,-4.436801138297185
-4.0,2.133291347379556
-3.5,-6.549371201852307
-3.0,5.300041555444401
-2.5,-0.09991249052444945
-2.0,-1.9708528165301131
-1.5,14.06608176062015
-1.0,1.3590305952318116
-0.5,0.9311370780031392
0.0,NaN
0.5,-7.9126768893873844
1.0,2.4730222764113106
1.5,14.076165206039963
2.0,-1.492821420265484
2.5,-39.99166893584157
3.0,-9.466457782339836
3.5,1.1905713860220144
4.0,-0.7602854210082194
4.5,-4.532138159953103
5.0,3.244976399486558
5.5,0.8759699945554222
6.0,2.0603948200113456
6.5,-7.246341327541196
7.0,16.748539050662444
7.5,2.8417105399782168
8.0,-6.6833952432534485
8.5,0.8128775922799862
9.0,-6.990848689445666
9.5,11.436115249394621
